id,Name,Code
1137,포인트모바일,318020
1138,에스씨디,042110
1139,옵트론텍,082210
1140,리튬포어스,073570
1141,TS인베스트먼트,246690
1142,라메디텍,462510
1143,플레이디,237820
1144,에이테크솔루션,071670
1145,씨앤투스,352700
1146,쓰리에이로직스,177900
1147,엑스플러스,373200
1148,모바일어플라이언스,087260
1149,동일기연,032960
1150,쎄니트,037760
1151,이글루,067920
1152,DGI,099520
1153,HLB펩,196300
1154,프로이천,321260
1155,우리로,046970
1156,잉크테크,049550
1157,RF시스템즈,474610
1158,포시에스,189690
1159,그린생명과학,114450
1160,EDGC,245620
1161,구영테크,053270
1162,셀로맥스사이언스,471820
1163,엔젯,419080
1164,나라엠앤디,051490
1165,희림,037440
1166,트윔,290090
1167,한싹,430690
1168,케이씨티,089150
1169,차이커뮤니케이션,351870
1170,우양,103840
1171,한울반도체,320000
1172,탑엔지니어링,065130
1173,링크제니시스,219420
1174,대륙제관,004780
1175,SGA솔루션즈,184230
1176,크레오에스지,040350
1177,덕신이피씨,090410
1178,신라섬유,001000
